Date,North Tower (kWh),temp_C,Holiday,Hour,Day_of_Week,Sin_hour,Workday,Gaussian,Power-1,Prediction
2019-02-25 06:00:00,60.037,9.735833333333334,0,6,0,-0.45500033808613605,1,114.93049347166995,56.439,53.582635983573674
2019-02-25 07:00:00,100.32,9.8475,0,7,0,2.1552251627369516,1,141.56667235432286,60.037,121.38430748084795
2019-02-25 08:00:00,134.895,10.401666666666666,0,8,0,4.686723977819363,1,171.3061319425267,100.32,163.1314103487456
2019-02-25 09:00:00,155.579,11.7275,0,9,0,6.966978646412833,1,200.96792039780146,134.895,169.38892581691638
2019-02-25 10:00:00,219.285,13.285833333333334,0,10,0,8.840593581151715,1,226.4993805169191,155.579,245.4086839361549
2019-02-25 11:00:00,285.744,15.1375,0,11,0,10.17988502052864,1,243.84664689526883,219.285,210.48617594221236
2019-02-25 12:00:00,246.625,16.4025,0,12,0,10.893582466233818,1,250.0,285.744,280.59724472415803
2019-02-25 13:00:00,243.563,17.340833333333332,0,13,0,10.933048616783237,1,243.84664689526883,246.625,241.99415629719186
2019-02-25 14:00:00,257.093,19.45,0,14,0,10.295593919237854,1,226.4993805169191,243.563,250.16356614824628
2019-02-25 15:00:00,269.292,20.930833333333336,0,15,0,9.024659857791692,1,200.96792039780146,257.093,257.9356655536549
2019-02-25 16:00:00,270.524,20.889166666666668,0,16,0,7.206858488414452,1,171.3061319425267,269.292,267.31017332654375
2019-02-25 17:00:00,197.822,20.243333333333336,0,17,0,4.96606997037041,1,141.56667235432286,270.524,267.9956811049296
2019-02-25 18:00:00,183.543,19.059166666666663,0,18,0,2.455000338086137,1,114.93049347166995,197.822,165.60520629696308
2019-02-25 19:00:00,141.618,18.621666666666663,0,19,0,-0.1552251627369503,1,93.25303336597746,183.543,151.55894353379787
2019-02-25 20:00:00,103.074,18.025833333333335,0,20,0,-2.6867239778193617,1,77.06705664732254,141.618,101.77357431003409
2019-02-25 21:00:00,81.337,17.588333333333335,0,21,0,-4.966978646412833,1,65.91190174364553,103.074,66.54531169825405
2019-02-25 22:00:00,61.859,16.8075,0,22,0,-6.840593581151714,1,58.78738672468148,81.337,60.241723336747036
2019-02-25 23:00:00,57.521,16.096666666666668,0,23,0,-8.179885020528637,1,54.558836176722465,61.859,52.244554838932366
2019-02-26 00:00:00,55.116,15.347500000000002,0,0,1,-8.893582466233818,1,52.22179930764846,57.521,55.516935865036345
2019-02-26 01:00:00,52.249,13.466666666666669,0,1,1,-8.933048616783237,1,54.558836176722465,55.116,51.344048723769646
2019-02-26 02:00:00,51.902,12.689166666666669,0,2,1,-8.29559391923785,1,58.78738672468148,52.249,49.66775377040409
2019-02-26 03:00:00,51.98,11.714166666666666,0,3,1,-7.024659857791685,1,65.91190174364553,51.902,50.04602480835379
2019-02-26 04:00:00,50.913,11.55,0,4,1,-5.2068584884144515,1,77.06705664732254,51.98,51.65447113752591
2019-02-26 05:00:00,62.526,11.191666666666668,0,5,1,-2.9660699703704005,1,93.25303336597746,50.913,56.93114235329767
2019-02-26 06:00:00,59.81,10.400833333333331,0,6,1,-0.45500033808613605,1,114.93049347166995,62.526,58.69633849846443
2019-02-26 07:00:00,100.917,10.144166666666669,0,7,1,2.1552251627369516,1,141.56667235432286,59.81,121.61370069861518
2019-02-26 08:00:00,139.865,10.125,0,8,1,4.686723977819363,1,171.3061319425267,100.917,164.69263095583474
2019-02-26 09:00:00,161.128,11.1075,0,9,1,6.966978646412833,1,200.96792039780146,139.865,168.35426455878897
2019-02-26 10:00:00,222.466,12.249166666666667,0,10,1,8.840593581151715,1,226.4993805169191,161.128,243.28257837216123
2019-02-26 11:00:00,296.358,13.493333333333334,0,11,1,10.17988502052864,1,243.84664689526883,222.466,217.36840369303124
2019-02-26 12:00:00,263.336,15.931666666666668,0,12,1,10.893582466233818,1,250.0,296.358,294.22053320212285
2019-02-26 13:00:00,258.319,17.311666666666667,0,13,1,10.933048616783237,1,243.84664689526883,263.336,257.25220453136546
2019-02-26 14:00:00,272.083,18.4925,0,14,1,10.295593919237854,1,226.4993805169191,258.319,262.66026823097036
2019-02-26 15:00:00,268.902,18.87333333333333,0,15,1,9.024659857791692,1,200.96792039780146,272.083,272.00735452128566
2019-02-26 16:00:00,265.403,18.633333333333333,0,16,1,7.206858488414452,1,171.3061319425267,268.902,266.40471015732544
2019-02-26 17:00:00,210.478,18.1,0,17,1,4.96606997037041,1,141.56667235432286,265.403,254.25222084044333
2019-02-26 18:00:00,188.932,17.404166666666665,0,18,1,2.455000338086137,1,114.93049347166995,210.478,154.01831114962934
2019-02-26 19:00:00,145.324,16.836666666666666,0,19,1,-0.1552251627369503,1,93.25303336597746,188.932,135.252436038063
2019-02-26 20:00:00,100.548,14.989166666666668,0,20,1,-2.6867239778193617,1,77.06705664732254,145.324,103.80562570130624
2019-02-26 21:00:00,75.909,14.5675,0,21,1,-4.966978646412833,1,65.91190174364553,100.548,67.48939892277832
2019-02-26 22:00:00,67.691,14.4175,0,22,1,-6.840593581151714,1,58.78738672468148,75.909,58.76637758018749
2019-02-26 23:00:00,62.549,13.730833333333337,0,23,1,-8.179885020528637,1,54.558836176722465,67.691,52.616806992122065
2019-02-27 00:00:00,56.977,13.584166666666668,0,0,2,-8.893582466233818,1,52.22179930764846,62.549,56.78446492156243
2019-02-27 01:00:00,53.872,13.373333333333331,0,1,2,-8.933048616783237,1,54.558836176722465,56.977,53.90009636571849
2019-02-27 02:00:00,52.645,13.055,0,2,2,-8.29559391923785,1,58.78738672468148,53.872,51.443187174807015
2019-02-27 03:00:00,52.45,12.653333333333334,0,3,2,-7.024659857791685,1,65.91190174364553,52.645,50.72838819631838
2019-02-27 04:00:00,51.44,12.230833333333337,0,4,2,-5.2068584884144515,1,77.06705664732254,52.45,51.91144518185352
2019-02-27 05:00:00,65.044,11.7475,0,5,2,-2.9660699703704005,1,93.25303336597746,51.44,57.26092490846773
2019-02-27 06:00:00,59.437,11.9825,0,6,2,-0.45500033808613605,1,114.93049347166995,65.044,60.02844892104974
2019-02-27 07:00:00,98.314,11.62,0,7,2,2.1552251627369516,1,141.56667235432286,59.437,122.24780269621239
2019-02-27 08:00:00,139.748,11.984166666666669,0,8,2,4.686723977819363,1,171.3061319425267,98.314,187.17920215130394
2019-02-27 09:00:00,163.064,13.3025,0,9,2,6.966978646412833,1,200.96792039780146,139.748,168.60855474953897
2019-02-27 10:00:00,230.916,14.853333333333332,0,10,2,8.840593581151715,1,226.4993805169191,163.064,242.2537048744816
2019-02-27 11:00:00,300.196,14.931666666666668,0,11,2,10.17988502052864,1,243.84664689526883,230.916,234.2032851554601
2019-02-27 12:00:00,272.452,16.301666666666666,0,12,2,10.893582466233818,1,250.0,300.196,303.0798259261155
2019-02-27 13:00:00,268.624,16.785833333333333,0,13,2,10.933048616783237,1,243.84664689526883,272.452,268.84346345504434
2019-02-27 14:00:00,278.114,16.143333333333334,0,14,2,10.295593919237854,1,226.4993805169191,268.624,275.1241689648665
2019-02-27 15:00:00,286.608,15.566666666666668,0,15,2,9.024659857791692,1,200.96792039780146,278.114,280.8171755722371
2019-02-27 16:00:00,273.85,15.894166666666663,0,16,2,7.206858488414452,1,171.3061319425267,286.608,283.64425403745844
2019-02-27 17:00:00,213.158,15.251666666666669,0,17,2,4.96606997037041,1,141.56667235432286,273.85,271.33604787014986
2019-02-27 18:00:00,187.205,14.108333333333334,0,18,2,2.455000338086137,1,114.93049347166995,213.158,159.52799987322416
2019-02-27 19:00:00,148.506,13.185833333333331,0,19,2,-0.1552251627369503,1,93.25303336597746,187.205,139.11692064211232
2019-02-27 20:00:00,102.627,12.461666666666666,0,20,2,-2.6867239778193617,1,77.06705664732254,148.506,111.68819166858448
2019-02-27 21:00:00,77.224,12.136666666666663,0,21,2,-4.966978646412833,1,65.91190174364553,102.627,67.3373619228793
2019-02-27 22:00:00,61.826,12.068333333333332,0,22,2,-6.840593581151714,1,58.78738672468148,77.224,58.86364134920444
2019-02-27 23:00:00,55.775,11.834166666666668,0,23,2,-8.179885020528637,1,54.558836176722465,61.826,52.25856653380736
2019-02-28 00:00:00,52.403,11.469166666666666,0,0,3,-8.893582466233818,1,52.22179930764846,55.775,52.895624433320066
2019-02-28 01:00:00,48.762,11.211666666666666,0,1,3,-8.933048616783237,1,54.558836176722465,52.403,49.3387662828921
2019-02-28 02:00:00,47.853,10.931666666666668,0,2,3,-8.29559391923785,1,58.78738672468148,48.762,45.83133571848708
2019-02-28 03:00:00,47.817,10.604166666666666,0,3,3,-7.024659857791685,1,65.91190174364553,47.853,47.52668891435036
2019-02-28 04:00:00,47.236,10.441666666666666,0,4,3,-5.2068584884144515,1,77.06705664732254,47.817,48.52495341400305
2019-02-28 05:00:00,58.026,10.523333333333332,0,5,3,-2.9660699703704005,1,93.25303336597746,47.236,50.14262355720565
2019-02-28 06:00:00,55.099,10.61,0,6,3,-0.45500033808613605,1,114.93049347166995,58.026,55.5934071712596
2019-02-28 07:00:00,95.945,10.896666666666668,0,7,3,2.1552251627369516,1,141.56667235432286,55.099,106.68207685793035
2019-02-28 08:00:00,133.536,11.5,0,8,3,4.686723977819363,1,171.3061319425267,95.945,159.29678690418902
2019-02-28 09:00:00,158.297,12.385833333333332,0,9,3,6.966978646412833,1,200.96792039780146,133.536,164.73509497174066
2019-02-28 10:00:00,222.631,13.555,0,10,3,8.840593581151715,1,226.4993805169191,158.297,242.1551299051051
2019-02-28 11:00:00,293.884,14.859166666666669,0,11,3,10.17988502052864,1,243.84664689526883,222.631,217.25102451553127
2019-02-28 12:00:00,260.361,15.1925,0,12,3,10.893582466233818,1,250.0,293.884,289.83795629417034
2019-02-28 13:00:00,261.696,16.230833333333333,0,13,3,10.933048616783237,1,243.84664689526883,260.361,257.1087909005521
2019-02-28 14:00:00,272.374,16.482499999999998,0,14,3,10.295593919237854,1,226.4993805169191,261.696,262.90351542667685
2019-02-28 15:00:00,275.162,15.698333333333332,0,15,3,9.024659857791692,1,200.96792039780146,272.374,272.05114690329145
2019-02-28 16:00:00,265.994,14.69,0,16,3,7.206858488414452,1,171.3061319425267,275.162,271.95461739644924
2019-02-28 17:00:00,203.815,13.826666666666666,0,17,3,4.96606997037041,1,141.56667235432286,265.994,254.80338136591084
2019-02-28 18:00:00,183.653,13.233333333333334,0,18,3,2.455000338086137,1,114.93049347166995,203.815,172.4487812405041
2019-02-28 19:00:00,144.613,12.456666666666663,0,19,3,-0.1552251627369503,1,93.25303336597746,183.653,151.55894353379787
2019-02-28 20:00:00,99.138,12.045,0,20,3,-2.6867239778193617,1,77.06705664732254,144.613,103.80562570130624
2019-02-28 21:00:00,69.362,11.853333333333332,0,21,3,-4.966978646412833,1,65.91190174364553,99.138,69.92842370563017
2019-02-28 22:00:00,60.255,11.546666666666669,0,22,3,-6.840593581151714,1,58.78738672468148,69.362,55.50554958841476
2019-02-28 23:00:00,54.606,11.303333333333333,0,23,3,-8.179885020528637,1,54.558836176722465,60.255,52.49872792618408
2019-03-01 00:00:00,47.561,11.076666666666666,0,0,4,-8.893582466233818,1,52.22179930764846,54.606,52.16034017682552
2019-03-01 01:00:00,46.37,11.045,0,1,4,-8.933048616783237,1,54.558836176722465,47.561,46.040151401595615
2019-03-01 02:00:00,46.048,11.035833333333334,0,2,4,-8.29559391923785,1,58.78738672468148,46.37,45.81689838976525
2019-03-01 03:00:00,46.534,11.041666666666666,0,3,4,-7.024659857791685,1,65.91190174364553,46.048,45.5411116795993
2019-03-01 04:00:00,46.234,11.240833333333333,0,4,4,-5.2068584884144515,1,77.06705664732254,46.534,45.275215486253174
2019-03-01 05:00:00,47.152,11.563333333333333,0,5,4,-2.9660699703704005,1,93.25303336597746,46.234,53.6268707771399
